scenario,scenario_id,D,noise_type,method,n_series,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,mae_mean,mae_ci_low,mae_ci_high,roc_auc_mean,roc_auc_ci_low,roc_auc_ci_high,pr_auc_mean,pr_auc_ci_low,pr_auc_ci_high
"D=0.5, white",eval_multi_D05_white,0.5,white,Pettitt,50,0.34,0.22,0.48,0.10152372,0.061523760000000004,0.14286178149999992,0.15499998,0.09499998000000001,0.2183333,1.8823529411764706,1.0,2.9411764705882355,,,,,,
"D=0.5, white",eval_multi_D05_white,0.5,white,MDL,50,0.245,0.14,0.36,0.1001904,0.0588571,0.14399988,0.13938240000000002,0.07995302700000001,0.20112923300000002,1.5666666666666667,1.1666666666666667,1.9666666666666666,,,,,,
"D=0.5, white",eval_multi_D05_white,0.5,white,Transformer_v2,50,0.06311624,0.042938541000000004,0.08529655699999998,0.28647624,0.20380955999999997,0.3731429405,0.10212254,0.07032206199999999,0.13664036349999997,2.8499999999999996,2.3466679999999998,3.3299999999999996,0.857636,0.8166555,0.8933642999999999,0.38254799999999994,0.3451277,0.4174281
"D=0.5, white",eval_multi_D05_white,0.5,white,CUSUM,50,0.058616200000000014,0.027691509000000003,0.10596347049999998,0.28914286000000006,0.2064761595,0.37734292349999987,0.0706801,0.044823906000000004,0.0998006305,7.854937037037037,5.4474525,10.392051203703703,0.25645399999999996,0.21188179999999998,0.3017497499999999,0.042078,0.03177775,0.05366015
"D=0.5, white",eval_multi_D05_white,0.5,white,SWAB,50,0.05416664,0.0225,0.08999998,0.05085710000000001,0.02189521650000001,0.08400470149999993,0.0510942,0.021743580000000002,0.08385608,12.555555555555555,6.666666666666667,18.333333333333332,,,,,,
"D=0.5, white",eval_multi_D05_white,0.5,white,GP,50,0.026666660000000002,0.0,0.07333332000000001,0.0095238,0.0,0.025714260000000003,0.013999999999999999,0.0,0.038,3.5,2.0,5.0,,,,,,
"D=1, white",eval_multi_D10_white,1.0,white,Transformer_v2,50,0.77365228,0.7521877414999999,0.795364644,0.64077016,0.6218030225,0.6600297725,0.6981657,0.6823145490000001,0.713759605,3.564676,3.38154985,3.7499072999999994,0.8151600000000001,0.8055238,0.8246761499999998,0.799072,0.78216545,0.8143119999999999
"D=1, white",eval_multi_D10_white,1.0,white,LSTM_v2,50,0.83957218,0.8163335365000001,0.8625322349999999,0.56936774,0.5442746375,0.5935504785,0.6749072199999999,0.6519998399999999,0.696339229,3.3539299999999996,3.1807493499999993,3.5438440499999997,0.8132159999999999,0.8032977,0.8230380999999999,0.8110300000000001,0.7953219000000001,0.82555805
"D=1, white",eval_multi_D10_white,1.0,white,GRU_v2,50,0.91257274,0.896047727,0.9288376539999998,0.51145068,0.48751223499999996,0.5347006459999999,0.6505095200000001,0.629973485,0.6698010754999999,3.6881399999999998,3.4480349499999994,3.9333830499999998,0.8467520000000001,0.8348459,0.8586986,0.85019,0.83498195,0.8643704000000001
"D=1, white",eval_multi_D10_white,1.0,white,CUSUM,50,0.46216248,0.44236298749999997,0.48171180099999994,0.6455314799999999,0.6252058505,0.6656939735,0.53438122,0.5177780959999999,0.5507078445000001,9.787472000000001,9.4283088,10.13660855,0.483212,0.4622571,0.5032168,0.46744199999999997,0.44614155000000005,0.48872825
