scenario,method,margin,n_series,mean_precision,mean_recall,mean_f1,std_f1,mean_mae,mean_roc_auc,mean_pr_auc
"D=1, white",LSTM,50,50,0.8878,0.6031,0.7144,0.0772,5.21,0.7847,0.8925
"D=1, white",LSTM,100,50,0.9249,0.6288,0.7445,0.078,7.93,0.7331,0.9567
"D=1, white",MDL,25,50,0.8295,0.1843,0.3002,0.0507,3.45,,
"D=1, white",MDL,50,50,0.9369,0.2102,0.3416,0.051,7.26,,
"D=1, white",MDL,100,50,0.9851,0.2213,0.3596,0.0495,10.43,,
"D=1, white",Nyblom,25,50,1.0,0.0251,0.049,0.0097,2.26,0.5231,0.542
"D=1, white",Nyblom,50,50,1.0,0.0251,0.049,0.0097,2.26,0.5351,0.7576
"D=1, white",Nyblom,100,50,1.0,0.0251,0.049,0.0097,2.26,0.5587,0.9248
"D=1, white",Pettitt,25,50,0.96,0.024,0.0467,0.0135,2.44,,
"D=1, white",Pettitt,50,50,1.0,0.0251,0.049,0.0097,3.78,,
"D=1, white",Pettitt,100,50,1.0,0.0251,0.049,0.0097,3.78,,
"D=1, white",SNHT,25,50,1.0,0.0251,0.049,0.0097,1.12,,
"D=1, white",SNHT,50,50,1.0,0.0251,0.049,0.0097,1.12,,
"D=1, white",SNHT,100,50,1.0,0.0251,0.049,0.0097,1.12,,
"D=1, white",SWAB,25,50,0.5409,0.1767,0.265,0.0616,10.74,,
"D=1, white",SWAB,50,50,0.7947,0.2607,0.3905,0.0465,19.05,,
"D=1, white",SWAB,100,50,0.9258,0.3062,0.4577,0.0536,26.87,,
"D=1, white",Transformer,25,50,0.7737,0.6408,0.6982,0.0576,3.56,0.8152,0.7991
"D=1, white",Transformer,50,50,0.8014,0.6636,0.7232,0.0543,4.71,0.7774,0.8736
"D=1, white",Transformer,100,50,0.8758,0.7254,0.7904,0.0415,10.22,0.7135,0.9506
"D=1.5, white",BuishandLR,25,50,1.0,0.0088,0.0174,0.0016,2.2,0.5016,0.8585
"D=1.5, white",BuishandLR,50,50,1.0,0.0088,0.0174,0.0016,2.2,0.5133,0.9774
"D=1.5, white",BuishandLR,100,50,1.0,0.0088,0.0174,0.0016,2.2,0.4157,0.9926
"D=1.5, white",BuishandQ,25,50,1.0,0.0088,0.0174,0.0016,2.2,0.5016,0.8585
"D=1.5, white",BuishandQ,50,50,1.0,0.0088,0.0174,0.0016,2.2,0.5133,0.9774
"D=1.5, white",BuishandQ,100,50,1.0,0.0088,0.0174,0.0016,2.2,0.4157,0.9926
"D=1.5, white",BuishandRange,25,50,1.0,0.0088,0.0174,0.0016,2.2,0.5016,0.8585
"D=1.5, white",BuishandRange,50,50,1.0,0.0088,0.0174,0.0016,2.2,0.5133,0.9774
"D=1.5, white",BuishandRange,100,50,1.0,0.0088,0.0174,0.0016,2.2,0.4157,0.9926
"D=1.5, white",BuishandU,25,50,1.0,0.0088,0.0174,0.0016,2.2,0.5016,0.8585
"D=1.5, white",BuishandU,50,50,1.0,0.0088,0.0174,0.0016,2.2,0.5133,0.9774
"D=1.5, white",BuishandU,100,50,1.0,0.0088,0.0174,0.0016,2.2,0.4157,0.9926
"D=1.5, white",CUSUM,25,50,0.845,0.4606,0.5946,0.032,7.98,0.458,0.8365
"D=1.5, white",CUSUM,50,50,0.9447,0.5161,0.6657,0.0403,10.83,0.4244,0.9669
"D=1.5, white",CUSUM,100,50,0.9819,0.5369,0.6923,0.0448,13.25,0.1971,0.9874
"D=1.5, white",CatBoost,25,50,0.9908,0.2061,0.3408,0.0249,2.1,0.828,0.9681
"D=1.5, white",CatBoost,50,50,0.9975,0.2076,0.3433,0.0261,2.31,0.7899,0.9942
"D=1.5, white",CatBoost,100,50,1.0,0.2081,0.3441,0.0259,2.47,0.7748,0.9971
"D=1.5, white",Chow,25,50,0.98,0.0086,0.017,0.0029,1.12,0.4976,0.8592
"D=1.5, white",Chow,50,50,1.0,0.0088,0.0174,0.0016,1.62,0.5094,0.9758
"D=1.5, white",Chow,100,50,1.0,0.0088,0.0174,0.0016,1.62,0.5817,0.9916
"D=1.5, white",GP,25,50,1.0,0.0089,0.0177,0.0026,2.34,,
"D=1.5, white",GP,50,50,1.0,0.0089,0.0177,0.0026,2.34,,
"D=1.5, white",GP,100,50,1.0,0.0089,0.0177,0.0026,2.34,,
"D=1.5, white",GRU,25,50,0.9835,0.1397,0.244,0.0328,1.46,0.7247,0.9386
"D=1.5, white",GRU,50,50,0.9924,0.1409,0.2461,0.0324,1.74,0.6929,0.9897
"D=1.5, white",GRU,100,50,1.0,0.1419,0.2479,0.0317,2.17,0.7382,0.9977
"D=1.5, white",GRU,25,50,0.9685,0.2779,0.4292,0.0638,3.28,0.8059,0.9591
"D=1.5, white",GRU,50,50,0.9862,0.2832,0.4373,0.0664,3.89,0.89,0.9967
"D=1.5, white",GRU,100,50,0.9994,0.287,0.4431,0.0664,4.83,0.9542,0.9997
"D=1.5, white",LSTM,25,50,0.9934,0.1531,0.2648,0.0282,1.74,0.7576,0.948
"D=1.5, white",LSTM,50,50,0.9989,0.1539,0.2663,0.0283,1.91,0.725,0.991
"D=1.5, white",LSTM,100,50,1.0,0.1541,0.2666,0.0282,1.98,0.8554,0.9986
"D=1.5, white",LSTM,25,50,0.9555,0.4382,0.5989,0.0474,3.59,0.8074,0.9604
"D=1.5, white",LSTM,50,50,0.9836,0.4514,0.6169,0.0507,4.53,0.8638,0.9966
"D=1.5, white",LSTM,100,50,0.9971,0.4577,0.6255,0.0514,5.39,0.8464,0.9985
"D=1.5, white",MDL,25,50,0.9494,0.0888,0.1621,0.0223,3.08,,
"D=1.5, white",MDL,50,50,0.9922,0.093,0.1698,0.0232,4.43,,
"D=1.5, white",MDL,100,50,1.0,0.0937,0.171,0.0223,4.85,,
"D=1.5, white",Nyblom,25,50,1.0,0.0088,0.0174,0.0016,2.72,0.503,0.8609
"D=1.5, white",Nyblom,50,50,1.0,0.0088,0.0174,0.0016,2.72,0.5252,0.9792
"D=1.5, white",Nyblom,100,50,1.0,0.0088,0.0174,0.0016,2.72,0.7997,0.9983
"D=1.5, white",Pettitt,25,50,1.0,0.0088,0.0174,0.0016,2.1,,
"D=1.5, white",Pettitt,50,50,1.0,0.0088,0.0174,0.0016,2.1,,
"D=1.5, white",Pettitt,100,50,1.0,0.0088,0.0174,0.0016,2.1,,
"D=1.5, white",SNHT,25,50,1.0,0.0088,0.0174,0.0016,1.0,,
"D=1.5, white",SNHT,50,50,1.0,0.0088,0.0174,0.0016,1.0,,
"D=1.5, white",SNHT,100,50,1.0,0.0088,0.0174,0.0016,1.0,,
"D=1.5, white",SWAB,25,50,0.8919,0.109,0.1941,0.0253,7.62,,
"D=1.5, white",SWAB,50,50,0.9946,0.1215,0.2163,0.0221,10.34,,
"D=1.5, white",SWAB,100,50,1.0,0.1223,0.2176,0.0228,10.62,,
"D=1.5, white",Transformer,25,50,0.9643,0.4835,0.6429,0.0421,3.21,0.8104,0.9604
"D=1.5, white",Transformer,50,50,0.9863,0.4944,0.6574,0.0394,3.91,0.8386,0.9946
"D=1.5, white",Transformer,100,50,0.998,0.5004,0.6653,0.04,4.67,0.8044,0.9972
