scenario,scenario_tag,method,series_seed,margin,n_true,n_pred,precision,recall,f1,mae,roc_auc,pr_auc,time_s
"D=0.5, white",D05_white,SWAB,1036,100,3,3,0.666667,0.666667,0.666667,47.0,,,0.0151
"D=0.5, white",D05_white,SWAB,1037,25,3,2,0.5,0.333333,0.4,1.0,,,0.0131
"D=0.5, white",D05_white,SWAB,1037,50,3,2,0.5,0.333333,0.4,1.0,,,0.0131
"D=0.5, white",D05_white,SWAB,1037,100,3,2,0.5,0.333333,0.4,1.0,,,0.0131
"D=0.5, white",D05_white,SWAB,1038,25,1,0,0.0,0.0,0.0,9999.0,,,0.0131
"D=0.5, white",D05_white,SWAB,1038,50,1,0,0.0,0.0,0.0,9999.0,,,0.0131
"D=0.5, white",D05_white,SWAB,1038,100,1,0,0.0,0.0,0.0,9999.0,,,0.0131
"D=0.5, white",D05_white,SWAB,1039,25,1,0,0.0,0.0,0.0,9999.0,,,0.0129
"D=0.5, white",D05_white,SWAB,1039,50,1,0,0.0,0.0,0.0,9999.0,,,0.0129
"D=0.5, white",D05_white,SWAB,1039,100,1,0,0.0,0.0,0.0,9999.0,,,0.0129
"D=0.5, white",D05_white,SWAB,1040,25,1,0,0.0,0.0,0.0,9999.0,,,0.0118
"D=0.5, white",D05_white,SWAB,1040,50,1,0,0.0,0.0,0.0,9999.0,,,0.0118
"D=0.5, white",D05_white,SWAB,1040,100,1,0,0.0,0.0,0.0,9999.0,,,0.0118
"D=0.5, white",D05_white,SWAB,1041,25,1,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1041,50,1,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1041,100,1,0,0.0,0.0,0.0,9999.0,,,0.0125
"D=0.5, white",D05_white,SWAB,1042,25,1,0,0.0,0.0,0.0,9999.0,,,0.0136
"D=0.5, white",D05_white,SWAB,1042,50,1,0,0.0,0.0,0.0,9999.0,,,0.0136
"D=0.5, white",D05_white,SWAB,1042,100,1,0,0.0,0.0,0.0,9999.0,,,0.0136
"D=0.5, white",D05_white,SWAB,1043,25,3,1,0.0,0.0,0.0,9999.0,,,0.0116
"D=0.5, white",D05_white,SWAB,1043,50,3,1,0.0,0.0,0.0,9999.0,,,0.0116
"D=0.5, white",D05_white,SWAB,1043,100,3,1,0.0,0.0,0.0,9999.0,,,0.0116
"D=0.5, white",D05_white,SWAB,1044,25,3,5,0.0,0.0,0.0,9999.0,,,0.0126
"D=0.5, white",D05_white,SWAB,1044,50,3,5,0.4,0.666667,0.5,48.0,,,0.0126
"D=0.5, white",D05_white,SWAB,1044,100,3,5,0.4,0.666667,0.5,48.0,,,0.0126
"D=0.5, white",D05_white,SWAB,1045,25,1,2,0.0,0.0,0.0,9999.0,,,0.0146
"D=0.5, white",D05_white,SWAB,1045,50,1,2,0.0,0.0,0.0,9999.0,,,0.0146
"D=0.5, white",D05_white,SWAB,1045,100,1,2,0.0,0.0,0.0,9999.0,,,0.0146
"D=0.5, white",D05_white,SWAB,1046,25,1,1,0.0,0.0,0.0,9999.0,,,0.0155
"D=0.5, white",D05_white,SWAB,1046,50,1,1,0.0,0.0,0.0,9999.0,,,0.0155
"D=0.5, white",D05_white,SWAB,1046,100,1,1,0.0,0.0,0.0,9999.0,,,0.0155
"D=0.5, white",D05_white,SWAB,1047,25,3,2,0.0,0.0,0.0,9999.0,,,0.016
"D=0.5, white",D05_white,SWAB,1047,50,3,2,0.0,0.0,0.0,9999.0,,,0.016
"D=0.5, white",D05_white,SWAB,1047,100,3,2,0.0,0.0,0.0,9999.0,,,0.016
"D=0.5, white",D05_white,SWAB,1048,25,7,3,0.333333,0.142857,0.2,19.0,,,0.017
"D=0.5, white",D05_white,SWAB,1048,50,7,3,0.333333,0.142857,0.2,19.0,,,0.017
"D=0.5, white",D05_white,SWAB,1048,100,7,3,0.666667,0.285714,0.4,48.0,,,0.017
"D=0.5, white",D05_white,SWAB,1049,25,3,0,0.0,0.0,0.0,9999.0,,,0.0175
"D=0.5, white",D05_white,SWAB,1049,50,3,0,0.0,0.0,0.0,9999.0,,,0.0175
"D=0.5, white",D05_white,SWAB,1049,100,3,0,0.0,0.0,0.0,9999.0,,,0.0175
"D=1, white",D10_white,SWAB,1000,25,39,14,0.571429,0.205128,0.301887,12.375,,,0.0135
"D=1, white",D10_white,SWAB,1000,50,39,14,0.928571,0.333333,0.490566,22.0769,,,0.0135
"D=1, white",D10_white,SWAB,1000,100,39,14,1.0,0.358974,0.528302,27.1429,,,0.0135
"D=1, white",D10_white,SWAB,1001,25,35,12,0.75,0.257143,0.382979,9.7778,,,0.013
"D=1, white",D10_white,SWAB,1001,50,35,12,0.833333,0.285714,0.425532,12.3,,,0.013
"D=1, white",D10_white,SWAB,1001,100,35,12,0.916667,0.314286,0.468085,18.2727,,,0.013
"D=1, white",D10_white,SWAB,1002,25,43,14,0.642857,0.209302,0.315789,9.4444,,,0.013
"D=1, white",D10_white,SWAB,1002,50,43,14,0.857143,0.27907,0.421053,15.6667,,,0.013
"D=1, white",D10_white,SWAB,1002,100,43,14,1.0,0.325581,0.491228,26.3571,,,0.013
"D=1, white",D10_white,SWAB,1003,25,43,11,0.363636,0.093023,0.148148,13.5,,,0.013
"D=1, white",D10_white,SWAB,1003,50,43,11,0.727273,0.186047,0.296296,23.5,,,0.013
"D=1, white",D10_white,SWAB,1003,100,43,11,0.909091,0.232558,0.37037,34.6,,,0.013
"D=1, white",D10_white,SWAB,1004,25,45,14,0.642857,0.2,0.305085,13.7778,,,0.014
"D=1, white",D10_white,SWAB,1004,50,45,14,0.857143,0.266667,0.40678,20.8333,,,0.014
"D=1, white",D10_white,SWAB,1004,100,45,14,1.0,0.311111,0.474576,29.7143,,,0.014
"D=1, white",D10_white,SWAB,1005,25,37,14,0.428571,0.162162,0.235294,12.6667,,,0.014
"D=1, white",D10_white,SWAB,1005,50,37,14,0.785714,0.297297,0.431373,24.1818,,,0.014
"D=1, white",D10_white,SWAB,1005,100,37,14,0.928571,0.351351,0.509804,34.4615,,,0.014
"D=1, white",D10_white,SWAB,1006,25,39,14,0.5,0.179487,0.264151,12.7143,,,0.013
"D=1, white",D10_white,SWAB,1006,50,39,14,0.714286,0.25641,0.377358,20.4,,,0.013
"D=1, white",D10_white,SWAB,1006,100,39,14,1.0,0.358974,0.528302,36.8571,,,0.013
