D,alpha,dt,noise_type,mean_cp,std_cp,h1_n,h1_ov_mean,h1_p_halfnorm,h2_n,h2_mean,h2_median,h2_cv,h2_skewness,h2_gamma_shape,h2_p_gamma,h2_p_beta,h3_disp_index,h3_disp_p,h4_n,h4_mean,h4_gamma_shape,h4_p_expon,h4_p_beta,h4_p_gamma
1.1,1.0488,2.4,white,348.1333333333333,22.41834566202917,10444,0.6182108050936507,2.0074040131568386e-160,10414,28.620702899942387,5.0,1.6130823178036378,2.7949036779526364,0.5290085989842017,5.275073121374883e-275,0.0,1.4934296543800105,0.08523310736251477,9601,29.967295073429852,0.4843210674509471,0.0,0.0,1.5714242394604765e-163
1.1,1.0488,2.6,white,452.8333333333333,26.655935340724564,13585,0.6287083139564665,8.026251786889572e-216,13555,22.038657322021393,4.0,1.5849116143907294,2.725735195166423,0.5717166731823083,0.0,0.0,1.6232025687561078,0.0366043198824797,12345,23.10627784528149,0.516825088901681,0.0,0.0,7.862250286126357e-259
1.1,1.0488,2.8,white,582.7,31.986611782640143,17481,0.6364293828497557,1.27310151040417e-277,17451,17.128474012950548,4.0,1.574962644568079,2.8091569808220886,0.6199502705623496,0.0,1.639661441559607e-202,1.816413485380186,0.009156656286626985,15610,18.03465727098014,0.5562848770105764,0.0,0.0,0.0
1.1,1.0488,3.0,white,739.0333333333333,25.83212900418564,22171,0.650481061974616,0.0,22141,13.512217153696762,3.0,1.5257869614579729,2.789538678120631,0.6743243626932253,0.0,0.0,0.9340704461715289,0.8660903097824483,19374,14.302312377413028,0.6001689621316039,0.0,0.0,0.0
1.2,1.0954,0.2,white,821.5,24.589631961458878,24645,0.5804105544924415,8.418997191668256e-200,24615,12.15925248832013,9.0,0.929112605335572,2.437966504502506,1.5400910229956546,8.585116680079905e-165,3.034965779026345e-110,0.7614120511259891,0.36635548043229405,24070,11.42492729538845,1.323273872626157,4.372936221956939e-76,0.0,7.579940655374449e-153
1.2,1.0954,0.4,white,704.6666666666666,21.94589306048451,21140,0.5869510110347431,3.607306683194618e-189,21110,14.173614400757934,9.0,1.1148925468836866,2.7211872999959903,1.2201751026667182,3.2111376838199625e-303,2.715039684715292e-288,0.7070433562783414,0.24687358374928314,20639,13.485730897814816,1.06012665636977,4.335560719114391e-158,4.513721785766668e-85,1.186929844285201e-186
1.2,1.0954,0.6,white,565.6666666666666,20.359000193744507,16970,0.5860479927134226,1.0798014297233003e-144,16940,17.655017709563165,8.0,1.3027555249148774,2.8205599293239394,0.9477552846079869,0.0,1.5734931238249583e-170,0.7580110946294678,0.358158648107071,16523,17.086667070144646,0.8390799875565779,0.0,0.0,0.0
1.2,1.0954,0.8,white,435.06666666666666,18.11984792675945,13052,0.5882220029706333,6.111570127984778e-124,13022,22.93956381508217,8.0,1.450507089386327,2.8562005241557253,0.7485393043601403,0.0,1.9320663113050563e-11,0.7806862734737442,0.41448225695250207,12671,22.55954541867256,0.6710691269678961,0.0,0.0,0.0
1.2,1.0954,1.0,white,337.8333333333333,18.295870815265637,10135,0.5910818826627482,2.621502416569922e-97,10105,29.49995051954478,8.0,1.5511178800368361,2.928691421041677,0.6298579005168173,0.0,1.6469530191076352e-219,1.0250072299814572,0.8556291485908813,9785,29.446193152784875,0.5730216660333018,0.0,0.0,2.940089218006563e-249
1.2,1.0954,1.2,white,279.8666666666667,17.11867076875097,8396,0.5877546912217908,9.399947648579417e-62,8366,35.54374850585704,7.0,1.6154925110965999,2.9487977286116154,0.5593010114918454,9.451094223367436e-199,0.0,1.083208752936538,0.6924330449408864,8066,35.84403669724771,0.5125456192148186,0.0,1.932508700608471e-282,3.1262333441025316e-150
1.2,1.0954,1.4,white,243.63333333333333,18.46886268531143,7309,0.5988506057563538,9.319223203226153e-82,7279,40.80986399230664,7.0,1.6373293321446842,2.9670666764578666,0.5162621170234187,2.116759091016233e-156,0.0,1.4483277584083862,0.11228342278141246,7000,41.41428571428571,0.47392702798687875,0.0,0.0,7.273585696948472e-122
1.2,1.0954,1.6,white,237.03333333333333,15.932112923972834,7111,0.6060945266479034,1.8374212440192744e-99,7081,41.983759356023164,6.0,1.6092857145906871,2.6421248459041005,0.5003352741643611,3.820143828214186e-135,0.0,1.1077980205509677,0.6287274565404148,6745,43.04151223128243,0.4623423228827939,0.0,0.0,7.527019642817378e-107
1.2,1.0954,1.8,white,249.26666666666668,19.780349395858057,7478,0.6134573537360909,3.286504432476543e-89,7448,39.93461331901182,6.0,1.6462166226334956,2.8593535196588307,0.4953102283001318,1.2305596214532146e-146,0.0,1.623779177541478,0.036461169471624366,7050,41.14737588652482,0.4564655863706574,0.0,0.0,3.009271005473936e-113
1.2,1.0954,2.0,white,279.93333333333334,17.304976805018327,8398,0.6123146582569757,7.635846499883704e-109,8368,35.54899617590822,5.0,1.6164900761469458,2.760491265800163,0.5081008004911155,4.482638129625453e-192,1.5942863121278641e-32,1.106651008860895,0.6316225084521778,7859,36.79793866904186,0.4667292374248832,0.0,3.460602683100867e-253,3.2247871080822516e-125
1.2,1.0954,2.2,white,340.43333333333334,16.572433603896428,10213,0.6091501120991368,5.656910425605367e-150,10183,29.26161249140725,5.0,1.6135288524094435,2.7757831361629988,0.5328848929765431,8.48473316918896e-257,5.417377580865768e-163,0.8345718945090265,0.5622384872714944,9456,30.443422165820643,0.48742627458277454,0.0,0.0,3.163014264217438e-154
1.2,1.0954,2.4,white,430.2,26.558614421690002,12906,0.6268372418452971,4.1654902375419875e-188,12876,23.18685927306617,4.0,1.61604143223632,2.9302346592762043,0.5665204116908072,0.0,0.0,1.6961477420285678,0.022059674406770924,11772,24.273870200475706,0.5148308717373361,0.0,0.0,1.1521012706978443e-218
